year,stationName,ridership,longitude,latitude
2016,Xinhai,1051319,121.55701024355297,25.005383562847964
2016,Wanfang Hospital,4866769,121.55802856133452,24.999504452038764
2016,Wanfang Community,768844,121.56806667867862,24.998607713500114
2016,Muzha,1458636,121.57317598186135,24.998253352528412
2016,Taipei Zoo,2930605,121.57932507629135,24.99827748528025
2016,Dazhi,3299063,121.54814855983457,25.080477334160324
2016,Jiannann Rd.,4128365,121.55560715358948,25.08489845647162
2016,Xihu,5127284,121.5672124577793,25.08216141473821
2016,Gangquian,4642810,121.57528311843348,25.079995003678402
2016,Wende,1854002,121.58496851543221,25.078533106268527
2016,Neihu,2852638,121.59420587019453,25.083505565019824
2016,Dahu Park,1221478,121.6023129070467,25.08380866638897
2016,Huzhou,2751384,121.60724154576957,25.072689271218778
2016,Donghu,2833563,121.61173723205351,25.06757795298427
2016,Nangang Software Park,1409544,121.61595418159499,25.0598989938964
2016,Taipei Nangang Exhibition Center,9862118,121.61762249277858,25.0545656791777
2016,Xiaobitan,839946,121.53529784254445,24.969554205353514
2016,Xindian,4196518,121.53761004105189,24.957871647770506
2016,Xindian District Office,3948153,121.54129865593423,24.9673944308081
2016,Qizhang,5600884,121.54291090576598,24.975082925897777
2016,Dapinglin,7040946,121.5413660346038,24.98291383339667
2016,Jingmei,5725030,121.5409209921252,24.993178356596204
2016,Wanlong,3291128,121.53900226954173,25.00196532519868
2016,Gongguan,10777004,121.53434703188556,25.01470748237314
2016,Taipower Building,6832774,121.52818732580072,25.02069268144765
2016,Guting,11202519,121.52256794084464,25.026885634859767
2016,Chiang Kai-Shek Memorial Hall,10606574,121.51704931955275,25.03427427019356
2016,Xiaonannmen,2884297,121.510781764249,25.035672778690685
2016,Dingxi,12613318,121.51544988024695,25.0136186456844
2016,Yongan Market,9259070,121.51112538697048,25.00255587953482
2016,Jingan,8693863,121.5050907781828,24.993922031758036
2016,Nanshijiao,7407182,121.50917264645942,24.99040853151986
2016,NTU Hospital,7988980,121.51622007732429,25.041827029154884
2016,Taipei Main Station,57481876,121.5174380246453,25.046233083441123
2016,Zhongshan,13907041,121.52039689994804,25.052675664748175
2016,Shuanglian,7805484,121.52070999301614,25.05764686024377
2016,Minquan W. Rd.,8348940,121.51936274027929,25.06287666536337
2016,Yuanshan,9989308,121.52013178478053,25.071380222093712
2016,Jiantan,13065974,121.52496914164323,25.084236417468688
2016,Shilin,10475009,121.52619154203938,25.093473979666292
2016,Zhishan,8274656,121.52254228458312,25.10281102722776
2016,Mingde,4229521,121.51882040916377,25.10979393588559
2016,Shipai,10558222,121.51564228487027,25.114420305321463
2016,Qilian,2571692,121.5062648104665,25.12085794562379
2016,Qiyan,2921219,121.50108298243138,25.125584855497433
2016,Beitou,6215905,121.49859115986241,25.131907048775716
2016,Xinbeitou,2756146,121.50253117138534,25.136936401899067
2016,Fuxinggang,1207236,121.48520813535161,25.137446811852804
2016,Zhongyi,946831,121.4731222409703,25.13075088521668
2016,Guandu,4284022,121.46719972493716,25.12578471313959
2016,Zhuwei,3410786,121.45945645181078,25.13694903321136
2016,Hongshulin,2467723,121.45895451204613,25.154114157533733
2016,Tamsui,14397090,121.4452583081884,25.167993283329395
2016,Dingpu,2436310,121.41927,24.95975
2016,Yongning,4153118,121.43682729636676,24.967220823923835
2016,Tucheng,2434368,121.4444515781318,24.97322601982389
2016,Haishan,7217708,121.44887528615253,24.985548276090636
2016,Far Eastern Hospital,6703839,121.45264887598302,24.998589027397475
2016,Fuzhong,10140743,121.45921891977315,25.008934844943454
2016,BL-Banqiao,14646097,121.46242,25.01409
